Grupa1
Chemia_budowlana-wykl Magdalena_Sadowska 1,Fizyka-cw Oktawia_Marciniak 10,Mechanika_ogolna-lab Aneta_Wisniewska 101,Technologia_informacyjna-lab Oktawia_Marciniak 103,Geometria_wykreslna-lab Adriana_Jaworska 102,
Fizyka-wykl Aisha_Andrzejewska 2,Mechanika_ogolna-wykl Aneta_Wisniewska 1,Jezyk_niemiecki-cw Gniewomir_Jasinski 10,Wolne,Wolne,
Mechanika_ogolna-cw Fabian_Rutkowski 10,Matematyka-wykl Adriana_Jaworska 2,Jezyk_angielski-cw Klaudiusz_Walczak 10,Wolne,Wolne,
Geometria_wykreslna-wykl Oktawia_Marciniak 1,Wolne,Wolne,Matematyka-cw Magdalena_Sadowska 10,Chemia_budowlana-lab Aisha_Andrzejewska 100,

Grupa2
Chemia_budowlana-wykl Magdalena_Sadowska 1,Fizyka-cw Oktawia_Marciniak 10,Wolne,Chemia_budowlana-lab Aisha_Andrzejewska 102,Wolne,
Fizyka-wykl Aisha_Andrzejewska 2,Mechanika_ogolna-wykl Aneta_Wisniewska 1,Jezyk_niemiecki-cw Gniewomir_Jasinski 10,Geometria_wykreslna-lab Adriana_Jaworska 104,Wolne,
Mechanika_ogolna-cw Fabian_Rutkowski 10,Matematyka-wykl Adriana_Jaworska 2,Jezyk_angielski-cw Klaudiusz_Walczak 10,Technologia_informacyjna-lab Oktawia_Marciniak 105,Wolne,
Geometria_wykreslna-wykl Oktawia_Marciniak 1,Mechanika_ogolna-lab Aneta_Wisniewska 103,Wolne,Matematyka-cw Magdalena_Sadowska 10,Wolne,

Grupa3
Chemia_budowlana-wykl Magdalena_Sadowska 1,Mechanika_ogolna-lab Aneta_Wisniewska 105,Jezyk_niemiecki-cw Gniewomir_Jasinski 10,Jezyk_angielski-cw Klaudiusz_Walczak 10,Wolne,
Fizyka-wykl Aisha_Andrzejewska 2,Mechanika_ogolna-wykl Aneta_Wisniewska 1,Geometria_wykreslna-lab Adriana_Jaworska 100,Mechanika_ogolna-cw Fabian_Rutkowski 10,Wolne,
Matematyka-cw Magdalena_Sadowska 11,Matematyka-wykl Adriana_Jaworska 2,Chemia_budowlana-lab Aisha_Andrzejewska 104,Wolne,Wolne,
Geometria_wykreslna-wykl Oktawia_Marciniak 1,Fizyka-cw Oktawia_Marciniak 10,Wolne,Technologia_informacyjna-lab Oktawia_Marciniak 101,Wolne,

Grupa4
Chemia_budowlana-wykl Magdalena_Sadowska 1,Chemia_budowlana-lab Aisha_Andrzejewska 100,Jezyk_niemiecki-cw Gniewomir_Jasinski 10,Jezyk_angielski-cw Klaudiusz_Walczak 10,Wolne,
Fizyka-wykl Aisha_Andrzejewska 2,Mechanika_ogolna-wykl Aneta_Wisniewska 1,Wolne,Mechanika_ogolna-cw Fabian_Rutkowski 10,Technologia_informacyjna-lab Oktawia_Marciniak 103,
Matematyka-cw Magdalena_Sadowska 11,Matematyka-wykl Adriana_Jaworska 2,Geometria_wykreslna-lab Adriana_Jaworska 102,Mechanika_ogolna-lab Aneta_Wisniewska 101,Wolne,
Geometria_wykreslna-wykl Oktawia_Marciniak 1,Fizyka-cw Oktawia_Marciniak 10,Wolne,Wolne,Wolne,
