Grupa1
Podstawy_projektowania_architektonicznego-wykl Fabian_Rutkowski 2,Teoria_architektury-wykl Adriana_Jaworska 2,Matematyka-wykl Aisha_Andrzejewska 2,Wolne,Rysunek_odreczny-lab Aneta_Wisniewska 103,
Mechanika_budowli-wykl Klaudiusz_Walczak 1,Matematyka-cw Oktawia_Marciniak 11,Geometria_wykreslna-wykl Aneta_Wisniewska 2,Geometria_wykreslna-cw Klaudiusz_Walczak 11,Wolne,
Budownictwo_ogolne-wykl Gniewomir_Jasinski 2,Podstawy_projektowania_architektonicznego-cw Magdalena_Sadowska 11,Wolne,Mechanika_budowli-lab Aisha_Andrzejewska 102,Wolne,
Historia_architektury_powszechnej-cw Aneta_Wisniewska 11,Historia_architektury_powszechnej-wykl Magdalena_Sadowska 1,Budownictwo_ogolne-lab Magdalena_Sadowska 101,Wolne,Technologia_informacyjna-lab Magdalena_Sadowska 104,

Grupa2
Podstawy_projektowania_architektonicznego-wykl Fabian_Rutkowski 2,Teoria_architektury-wykl Adriana_Jaworska 2,Matematyka-wykl Aisha_Andrzejewska 2,Wolne,Wolne,
Mechanika_budowli-wykl Klaudiusz_Walczak 1,Matematyka-cw Oktawia_Marciniak 11,Geometria_wykreslna-wykl Aneta_Wisniewska 2,Geometria_wykreslna-cw Klaudiusz_Walczak 11,Rysunek_odreczny-lab Aneta_Wisniewska 105,
Budownictwo_ogolne-wykl Gniewomir_Jasinski 2,Podstawy_projektowania_architektonicznego-cw Magdalena_Sadowska 11,Wolne,Budownictwo_ogolne-lab Magdalena_Sadowska 103,Technologia_informacyjna-lab Magdalena_Sadowska 100,
Historia_architektury_powszechnej-cw Aneta_Wisniewska 11,Historia_architektury_powszechnej-wykl Magdalena_Sadowska 1,Mechanika_budowli-lab Aisha_Andrzejewska 104,Wolne,Wolne,

Grupa3
Podstawy_projektowania_architektonicznego-wykl Fabian_Rutkowski 2,Teoria_architektury-wykl Adriana_Jaworska 2,Matematyka-wykl Aisha_Andrzejewska 2,Historia_architektury_powszechnej-cw Aneta_Wisniewska 11,Budownictwo_ogolne-lab Magdalena_Sadowska 105,
Mechanika_budowli-wykl Klaudiusz_Walczak 1,Technologia_informacyjna-lab Magdalena_Sadowska 102,Geometria_wykreslna-wykl Aneta_Wisniewska 2,Rysunek_odreczny-lab Aneta_Wisniewska 101,Wolne,
Budownictwo_ogolne-wykl Gniewomir_Jasinski 2,Mechanika_budowli-lab Aisha_Andrzejewska 100,Podstawy_projektowania_architektonicznego-cw Magdalena_Sadowska 11,Geometria_wykreslna-cw Klaudiusz_Walczak 11,Wolne,
Wolne,Historia_architektury_powszechnej-wykl Magdalena_Sadowska 1,Matematyka-cw Oktawia_Marciniak 11,Wolne,Wolne,

Grupa4
Podstawy_projektowania_architektonicznego-wykl Fabian_Rutkowski 2,Teoria_architektury-wykl Adriana_Jaworska 2,Matematyka-wykl Aisha_Andrzejewska 2,Historia_architektury_powszechnej-cw Aneta_Wisniewska 11,Wolne,
Mechanika_budowli-wykl Klaudiusz_Walczak 1,Technologia_informacyjna-lab Adriana_Jaworska 104,Geometria_wykreslna-wykl Aneta_Wisniewska 2,Wolne,Wolne,
Budownictwo_ogolne-wykl Gniewomir_Jasinski 2,Mechanika_budowli-lab Klaudiusz_Walczak 102,Podstawy_projektowania_architektonicznego-cw Magdalena_Sadowska 11,Geometria_wykreslna-cw Klaudiusz_Walczak 11,Rysunek_odreczny-lab Fabian_Rutkowski 103,
Budownictwo_ogolne-lab Gniewomir_Jasinski 101,Historia_architektury_powszechnej-wykl Magdalena_Sadowska 1,Matematyka-cw Oktawia_Marciniak 11,Wolne,Wolne,

Grupa5
Podstawy_projektowania_architektonicznego-cw Aisha_Andrzejewska 10,Budownictwo_ogolne-wykl Gniewomir_Jasinski 1,Teoria_architektury-wykl Adriana_Jaworska 1,Wolne,Wolne,
Matematyka-cw Gniewomir_Jasinski 10,Mechanika_budowli-wykl Klaudiusz_Walczak 2,Mechanika_budowli-lab Klaudiusz_Walczak 103,Budownictwo_ogolne-lab Gniewomir_Jasinski 102,Wolne,
