Magdalena_Sadowska
Chemia_budowlana-wykl 1 Architektura1111,Wolne,Wolne,Wolne,Budownictwo_ogolne-lab 105 Budownictwo1133,
Wolne,Technologia_informacyjna-lab 102 Budownictwo1133,Wolne,Wolne,Wolne,
Matematyka-cw 11 Architektura1122,Podstawy_projektowania_architektonicznego-cw 11 Budownictwo1121,Podstawy_projektowania_architektonicznego-cw 11 Budownictwo1122,Budownictwo_ogolne-lab 103 Budownictwo1132,Technologia_informacyjna-lab 100 Budownictwo1132,
Historia_architektury_powszechnej-wykl 2 Budownictwo1112,Historia_architektury_powszechnej-wykl 1 Budownictwo1111,Budownictwo_ogolne-lab 101 Budownictwo1131,Matematyka-cw 10 Architektura1121,Technologia_informacyjna-lab 104 Budownictwo1131,

Aisha_Andrzejewska
Podstawy_projektowania_architektonicznego-cw 10 Budownictwo1123,Chemia_budowlana-lab 100 Architektura1134,Matematyka-wykl 2 Budownictwo1111,Chemia_budowlana-lab 102 Architektura1132,Wolne,
Fizyka-wykl 2 Architektura1111,Wolne,Podstawy_projektowania_architektonicznego-cw 11 Budownictwo1124,Wolne,Wolne,
Matematyka-wykl 1 Budownictwo1112,Mechanika_budowli-lab 100 Budownictwo1133,Chemia_budowlana-lab 104 Architektura1133,Mechanika_budowli-lab 102 Budownictwo1131,Wolne,
Wolne,Wolne,Mechanika_budowli-lab 104 Budownictwo1132,Wolne,Chemia_budowlana-lab 100 Architektura1131,

Aneta_Wisniewska
Wolne,Mechanika_ogolna-lab 105 Architektura1133,Mechanika_ogolna-lab 101 Architektura1131,Historia_architektury_powszechnej-cw 11 Budownictwo1122,Rysunek_odreczny-lab 103 Budownictwo1131,
Wolne,Mechanika_ogolna-wykl 1 Architektura1111,Geometria_wykreslna-wykl 2 Budownictwo1111,Rysunek_odreczny-lab 101 Budownictwo1133,Rysunek_odreczny-lab 105 Budownictwo1132,
Wolne,Wolne,Geometria_wykreslna-wykl 1 Budownictwo1112,Mechanika_ogolna-lab 101 Architektura1134,Wolne,
Historia_architektury_powszechnej-cw 11 Budownictwo1121,Mechanika_ogolna-lab 103 Architektura1132,Wolne,Wolne,Wolne,

Adriana_Jaworska
Historia_architektury_powszechnej-cw 11 Budownictwo1124,Teoria_architektury-wykl 2 Budownictwo1111,Teoria_architektury-wykl 1 Budownictwo1112,Technologia_informacyjna-lab 100 Budownictwo1136,Geometria_wykreslna-lab 102 Architektura1131,
Wolne,Technologia_informacyjna-lab 104 Budownictwo1134,Geometria_wykreslna-lab 100 Architektura1133,Geometria_wykreslna-lab 104 Architektura1132,Wolne,
